Sport,Estimated Viewers
Boxing,4740000000
Football/Soccer,3500000000
Cricket,2500000000
Ice hockey,2000000000
Field hockey,2000000000
Horse Racing,1450000000
Tennis,1000000000
Volleyball,900000000
Swimming,825000000
Badminton,709000000
Lacrosse,674000000
Baseball,500000000
Formula 1/Grand Prix racing,500000000
Rugby,475000000
Golf,450000000
American football,410000000
Basketball,400000000
Mixed Martial Arts (MMA),300000000
Handball,270000000
Cycling,150000000
Bowling,120000000
Athletics,100000000